Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
608 x 608 
Loaded: 0.017545 seconds
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: nan, GIOU: nan), Class: nan, Obj: nan, No Obj: 0.542296, .5R: nan, .75R: nan, count: 0, loss = 335.818512, class_loss = 335.818512, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: 0.294808, GIOU: 0.221888), Class: 0.571891, Obj: 0.404800, No Obj: 0.487330, .5R: 0.000000, .75R: 0.000000, count: 8, loss = 4451.682617, class_loss = 4447.494141, iou_loss = 4.188477
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: nan, GIOU: nan), Class: nan, Obj: nan, No Obj: 0.542097, .5R: nan, .75R: nan, count: 0, loss = 336.495789, class_loss = 336.495789, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: 0.322563, GIOU: 0.245983), Class: 0.587248, Obj: 0.497019, No Obj: 0.470101, .5R: 0.200000, .75R: 0.050000, count: 20, loss = 1074.645020, class_loss = 1064.004883, iou_loss = 10.640137
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: 0.324006, GIOU: 0.257051), Class: 0.491661, Obj: 0.331820, No Obj: 0.486700, .5R: 0.111111, .75R: 0.000000, count: 9, loss = 4458.175293, class_loss = 4454.861328, iou_loss = 3.313965
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: nan, GIOU: nan), Class: nan, Obj: nan, No Obj: 0.542326, .5R: nan, .75R: nan, count: 0, loss = 336.434296, class_loss = 336.434296, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: 0.338511, GIOU: 0.222839), Class: 0.447801, Obj: 0.540322, No Obj: 0.469912, .5R: 0.071429, .75R: 0.000000, count: 14, loss = 1058.182129, class_loss = 1053.526611, iou_loss = 4.655518
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: 0.335756, GIOU: 0.269823), Class: 0.470488, Obj: 0.384117, No Obj: 0.486990, .5R: 0.100000, .75R: 0.000000, count: 10, loss = 4460.728027, class_loss = 4456.767578, iou_loss = 3.960449
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 82 Avg (IOU: nan, GIOU: nan), Class: nan, Obj: nan, No Obj: 0.541917, .5R: nan, .75R: nan, count: 0, loss = 335.755676, class_loss = 335.755676, iou_loss = 0.000000
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 94 Avg (IOU: 0.299756, GIOU: 0.213116), Class: 0.520127, Obj: 0.531551, No Obj: 0.470128, .5R: 0.100000, .75R: 0.000000, count: 20, loss = 1075.237183, class_loss = 1065.104858, iou_loss = 10.132324
v3 (mse loss, Normalizer: (iou: 0.750000, cls: 1.000000) Region 106 Avg (IOU: 0.164392, GIOU: -0.065238), Class: 0.297922, Obj: 0.452317, No Obj: 0.486782, .5R: 0.000000, .75R: 0.000000, count: 5, loss = 4447.988770, class_loss = 4443.533203, iou_loss = 4.455566
